name,address,coords,main_dish,price,meal_type,cuisine_suggestion,calo_estimate(kcal)
Bánh Mì Cô Điệp,"238 Võ Thành Trang, Bảy Hiền, Hồ Chí Minh, Việt Nam","10.789902798341371, 106.647140138088",Bánh mì,25000,Snack,Vietnamese,430
Buffe ốc Cô Giang,"59 Nguyễn Hữu Dật, Tây Thạnh, Hồ Chí Minh 760369, Việt Nam","10.807646621449083, 106.63101015342909",Ốc,159000,Snack,Vietnamese,400
KHÈN - Nướng Sapa,"9 Thoại Ngọc Hầu, Tân Phú, Hồ Chí Minh 100000, Việt Nam","10.784673328288328, 106.63932989918862",Bò Kho ,55000,Full meal,Vietnamese,550
San San,"147 Hoa Lan, Phường 02, Cầu Kiệu, Hồ Chí Minh 72210, Việt Nam","10.797824472482887, 106.6882031515822",Mì Gà Quay,50000,Full meal,Vietnamese,650
Quán Út Phượng,"1/2 Lương Định Của, Bình Khánh, An Khánh, Hồ Chí Minh, Việt Nam","10.789336721407787, 106.73764486692328","Há cảo, phá lấu",30000,Snack,Chinese,550
Bún Riêu Yến,"1348 Trường Sa, Tân Sơn Hòa, Hồ Chí Minh, Việt Nam","10.79190569286818, 106.6638769074058",bún riêu,32000,Full meal,Vietnamese,490
Bánh Canh Gia Lai,"33 Dân Trí, Tân Hòa, Hồ Chí Minh, Việt Nam","10.784854836659855, 106.6590217534289",Bánh canh,60000,Full meal,Vietnamese,500
Bánh mì cô Huyền,"6 Đ. Đồ Sơn, Tân Sơn Nhất, Hồ Chí Minh 700000, Việt Nam","10.804786977913134, 106.65916185158224",Bánh Mì Gà Xé Bơ ,25000,Full meal,Vietnamese,600
Pizza 777,"122/7 Yên Thế, Tân Sơn Hòa, Hồ Chí Minh, Việt Nam","10.814489370067083, 106.66887797857078",Pizza & Hotdog,100000,Fast food,Western,900
Lyn’s Chicken,"69 Tân Trang, Tân Hòa, Hồ Chí Minh 700000, Việt Nam","10.778492084878923, 106.65431218041732",Gà rán sốt,25000,Fast food,Western,650
Bánh ướt 25k ,"117 Thoại Ngọc Hầu, Phú Thạnh, Hồ Chí Minh, Việt Nam","10.781455478381766, 106.63563365342895",Bánh ướt ,25000,Full meal,Vietnamese,380
Tàu Hủ Đá,"1 Đường 3, Khu Phố 6, Thủ Đức, Hồ Chí Minh, Việt Nam","10.83786327822435, 106.76646604303063",Tàu Hũ Đá,450000,Full meal,Vietnamese,220
Hancook Korean Fast Food,"263 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh, Việt Nam","10.760558492042481, 106.66855974918538",Há cảo,80000,Snack,Chinese,300
Tiệm Bún Đậu CÁM,"206 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 72500, Việt Nam","10.760956460794546, 106.6687766489084",Bún,75000,Healthy meal,Vietnamese,420
TOSHIRO RAMEN,"184 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 72517, Việt Nam","10.760518503915359, 106.6689025597629",Mì,30000,Full meal,Japanese,500
Chicken Plus Nguyễn Tri Phương,"226 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 700000, Việt Nam","10.761316825746718, 106.66870009606498",Gà rán,200000,Fast food,Vietnamese,520
Thái Sumo Lẩu cá viên - Ngô Gia Tự,"494 Ngô Gia Tự, Vườn Lài, Hồ Chí Minh 70000, Việt Nam","10.760324724974133, 106.66904290875809",Lẩu cá viên,150000,Fast food,Vietnamese,600
